Ano;Receita;Cresc_receita;EBIT;Margem_EBIT(%);IR;IR/EBIT;Imobilizado;Cresc. Imob;Deprec.;Deprec/Imob;capex;Capex/Imob;Varcapgiro;;;;;
2017;84567;0,195335582;4467;0,052822023;414;0,092679651;460;0,88854811;-452;-0,982608696;-2321;-5,045652174;-4545;;;;;
2018;97770;0,15612473;10127;0,10357983;1616;0,159573418;480;0,043478261;-384;-0,8;-196;-0,408333333;646;;;;;
2019;94985;-0,02848522;10036;0,105658788;1092;0,10880829;538;0,120833333;-528;-0,981412639;-373;-0,69330855;357;;;;;
2020;81501;-0,141959257;14530;0,178280021;925;0,06366139;780;0,449814126;-504;-0,646153846;-581;-0,744871795;366;;;;;
2021;130121;0,596557097;10239;0,078688298;677;0,066119738;3051;2,911538462;-515;-0,168797116;-2415;-0,791543756;-3021;;;;;
2022;181446;0,394440559;5515;0,030394718;393;0,071260199;5849;0,917076368;-506;-0,086510515;-2011;-0,343819456;59;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
